player,team,position,age,games,minutes,percentage of team minutes,usage percent,turnover per pocession,free throw attempts,free throw percent,2 point shots attempts,2 point shots percentage,3 point shots attempts,3 point shots percentage,true shooting percentage,points per game,rebounds pergame,true rebound percentage,assists per game,percentage of team assists,steals per game,blocks per game,versatility index
Patrick Patterson,Tor,PF,24,48,23.1,47,18,0.111,55,0.745,255,0.506,112,0.411,0.559,9.1,5.1,12.8,1.3,9.6,0.88,0.71,6.8
Chris Paul,Lac,PG,28,62,34.8,72.2,23.9,0.124,345,0.855,658,0.498,212,0.368,0.58,19.1,4.3,6.9,10.7,49.2,2.48,0.06,11
Nikola Pekovic,Min,C,28,54,30.6,62.9,23,0.094,249,0.747,701,0.541,0,0,0.582,17.5,8.7,15.4,0.9,5.2,0.56,0.43,6.7
Kendrick Perkins,Okc,C,29,62,19.3,39.8,11.7,0.289,67,0.552,192,0.453,2,0,0.472,3.4,4.9,14.4,1.1,7.7,0.42,0.52,5.5
Paul Pierce,Bro,SF,36,75,27.8,57.2,22.6,0.153,310,0.826,412,0.507,300,0.373,0.595,13.5,4.6,10,2.4,14.7,1.15,0.41,7.6
Mason Plumlee,Bro,PF,23,70,18,37.1,17.3,0.166,195,0.626,299,0.666,3,0,0.67,7.4,4.4,14.6,0.9,8.2,0.7,0.79,6.9
Miles Plumlee,Pho,C,25,80,24.3,50.5,16.3,0.154,132,0.561,553,0.517,0,0,0.529,8.1,7.8,18.1,0.5,3.4,0.63,1.13,5.2
Quincy Pondexter,Mem,SG,25,15,17.8,35.9,18.2,0.142,26,0.808,45,0.444,34,0.324,0.52,6.3,1.7,5.8,1.4,11.7,0.33,0.07,5.5
Otto Porter,Was,SF,20,37,8.4,16.8,16,0.127,12,0.667,70,0.414,21,0.19,0.405,2.1,1.5,10.6,0.3,4.7,0.22,0.03,4.7
Josh Powell,Hou,F,31,1,19.2,24.6,16,0.143,0,0,6,0.333,0,0,0.333,4,5,14.5,0,0,0,1,0
Phil Pressey,Bos,PG,22,75,14.9,31,14.3,0.242,45,0.644,147,0.34,106,0.264,0.39,2.8,1.4,5.3,3.2,31.1,0.91,0.07,6.2
Ronnie Price,Orl,SG,30,31,12,24,15.2,0.21,13,0.692,49,0.388,43,0.209,0.379,2.4,1.4,6.6,2.1,26.1,0.81,0.06,6.4
Pablo Prigioni,Nyk,PG,36,66,19.2,39.6,9.4,0.234,12,0.917,51,0.451,140,0.464,0.642,3.8,2,6,3.5,25.9,1.02,0.03,6.2
Tayshaun Prince,Mem,SF,33,76,25.4,52.6,13.4,0.073,60,0.567,423,0.426,69,0.29,0.438,6,3.1,7.2,1.6,9,0.51,0.25,4.9
Miroslav Raduljica,Mil,C,26,48,9.5,19.5,17.7,0.157,55,0.818,126,0.54,0,0,0.603,3.8,2.3,13.6,0.5,8.5,0.15,0.27,6.9
Anthony Randolph,Den,PF,24,43,12.1,24.9,20,0.16,69,0.754,114,0.439,61,0.295,0.502,4.8,2.8,12.6,0.7,9.3,0.6,0.44,7
Shavlik Randolph,Pho,PF,30,14,6.6,13.4,11.4,0.21,11,0.545,14,0.5,0,0,0.531,1.4,1.8,15.2,0.1,1.5,0.21,0.07,3.8
Zach Randolph,Mem,PF,32,79,34,70.5,26.3,0.12,337,0.742,1178,0.474,20,0.1,0.51,17.4,10.1,17.5,2.5,12.8,0.68,0.29,8.9
J.J. Redick,Lac,SG,29,35,28,57.8,21.9,0.086,106,0.915,213,0.507,185,0.395,0.598,15.2,2.1,4.2,2.3,13,0.8,0.09,6
Glen Rice,Was,SG,23,11,9.7,17.6,20.8,0.183,7,0.714,20,0.3,17,0.294,0.399,2.9,1.8,10.9,0.6,9.6,0.55,0.09,6
Luke Ridnour,Mil,PG,32,36,21,42.7,16.4,0.168,19,0.684,151,0.391,68,0.368,0.453,5.7,1.7,4.7,3.4,25.8,0.64,0.06,6.1
Luke Ridnour,Cha,PG,32,25,15,30,16.2,0.153,7,0.571,68,0.441,40,0.3,0.45,4,1.4,5.3,2.2,22.7,0.36,0.24,6.2
Austin Rivers,Nor,SG,21,69,19.2,39.6,21.5,0.123,173,0.636,375,0.416,99,0.364,0.482,7.7,1.9,5.7,2.3,19,0.65,0.13,6.7
Andre Roberson,Okc,PF,22,40,9.8,20.2,10.3,0.208,10,0.7,55,0.564,13,0.154,0.518,1.9,2.4,13.5,0.4,5.3,0.48,0.25,5
Brian Roberts,Nor,PG,28,72,22.9,47.3,20.2,0.13,133,0.94,402,0.448,178,0.36,0.53,9.4,1.9,4.8,3.3,22.5,0.6,0.1,6.8
Nate Robinson,Den,PG,29,44,19.7,40.7,23.5,0.121,85,0.835,229,0.463,154,0.377,0.544,10.4,1.8,5,2.5,21.3,0.82,0.09,7.3
Thomas Robinson,Por,PF,22,70,12.3,25.3,20.1,0.144,101,0.564,293,0.481,1,0,0.501,4.8,4.4,19.3,0.5,6.2,0.33,0.29,7.1
Rajon Rondo,Bos,PG,27,30,33.1,68.5,21.4,0.209,67,0.627,260,0.442,90,0.289,0.461,11.7,5.5,9.4,9.8,48,1.33,0.07,10.4
Derrick Rose,Chi,PG,25,10,31,58.4,31.6,0.16,32,0.844,117,0.359,47,0.34,0.446,15.9,3.2,5.9,4.3,26.4,0.5,0.1,7.8
Terrence Ross,Tor,SG,22,81,26.5,54.4,18.7,0.1,98,0.837,343,0.458,408,0.395,0.553,10.9,3.1,6.9,1,6.1,0.79,0.33,4.9
Ricky Rubio,Min,PG,23,82,32,66,16.5,0.218,283,0.802,537,0.393,133,0.331,0.491,9.5,4.2,7.1,8.6,38,2.32,0.13,8.8
Brandon Rush,Uta,SG,28,38,10.8,22.2,12.5,0.178,5,0.6,43,0.326,47,0.34,0.428,2.1,1.2,6.2,0.6,8.7,0.13,0.24,4.3
Robert Sacre,Lal,C,24,65,16.5,34.4,15.7,0.114,94,0.681,300,0.477,0,0,0.513,5.4,3.9,12.6,0.8,7.2,0.37,0.72,6.2
John Salmons,Sac,SF,34,18,24.6,49.5,13.3,0.104,7,1,75,0.333,42,0.381,0.437,5.8,2.6,5.9,2.4,14.8,0.67,0.44,5.4
John Salmons,Tor,SG,34,60,21.1,43.2,12.7,0.112,45,0.733,175,0.354,121,0.388,0.472,5,2,5.4,1.7,12.2,0.58,0.18,4.9
Larry Sanders,Mil,C,25,23,25.2,50.7,16.6,0.123,55,0.473,161,0.472,1,0,0.478,7.7,7.2,16.3,0.8,5.4,0.78,1.74,5.6
Dennis Schroeder,Atl,PG,20,49,12.9,26.6,19.2,0.228,43,0.674,146,0.425,42,0.238,0.442,3.7,1.2,5.5,1.9,22.3,0.35,0,6.3
Luis Scola,Ind,PF,33,82,16.9,34.9,24.1,0.149,136,0.728,552,0.473,7,0.143,0.504,7.6,4.8,15.9,1,10.5,0.32,0.2,7.8
Mike Scott,Atl,PF,25,80,18.3,37.8,23.7,0.103,132,0.78,428,0.558,200,0.31,0.559,9.6,3.6,11.2,0.9,9,0.38,0.09,6.9
Thabo Sefolosha,Okc,SG,29,61,25.8,53.2,12,0.129,69,0.768,188,0.495,152,0.316,0.517,6.3,3.6,7.9,1.6,8.4,1.3,0.28,5.1
Kevin Seraphin,Was,C,24,53,10.7,21.7,21.9,0.149,31,0.871,220,0.505,0,0,0.533,4.7,2.4,13.1,0.3,5,0.06,0.49,5.6
Ramon Sessions,Cha,PG,27,55,23.5,48.2,23.6,0.141,234,0.782,397,0.441,68,0.221,0.509,10.5,2.1,5.1,3.7,26.5,0.6,0.11,7.4
Ramon Sessions,Mil,PG,27,28,32.3,65.3,21.7,0.127,170,0.841,248,0.484,56,0.357,0.585,15.8,3.1,5.5,4.8,25.3,0.57,0.11,7.6
Tornike Shengelia,Bro,SF,22,17,7.9,15.7,13.5,0.286,8,0.375,18,0.611,6,0,0.454,1.5,0.8,6.3,0.7,13.7,0.12,0,4.8
Iman Shumpert,Nyk,SG,23,74,26.3,54.3,14.2,0.133,71,0.746,256,0.418,228,0.333,0.48,6.7,4.2,9.3,1.7,9.9,1.24,0.18,5.5
Alexey Shved,Min,SG,25,63,10.4,21.3,21.2,0.148,90,0.756,135,0.341,102,0.294,0.452,4,1.3,6.8,1.1,15.2,0.41,0.25,6.9
Henry Sims,Cle,C,23,20,8.2,16.3,16.1,0.135,14,0.571,45,0.4,0,0,0.43,2.2,2.8,19.1,0.3,4.7,0.25,0.35,6
Henry Sims,Phi,C,23,26,27,54.7,18.7,0.107,107,0.766,228,0.491,1,0,0.554,11.8,7,13.9,1.8,10.8,0.88,0.5,7.8
Kyle Singler,Det,SF,25,82,28.3,58.7,14,0.104,184,0.826,356,0.492,246,0.382,0.574,9.6,3.7,7.1,0.9,4.7,0.74,0.46,4.5
Chris Singleton,Was,SF,24,25,9.8,19.2,17.3,0.181,25,0.72,47,0.383,19,0.368,0.487,3,2.2,13,0.2,3.5,0.36,0.12,4.5
Peyton Siva,Det,SG,23,24,9.1,18.7,15.9,0.221,15,0.733,32,0.344,25,0.28,0.425,2.3,0.6,3.5,1.4,21.5,0.38,0.04,5.5
Donald Sloan,Ind,SG,26,48,8,16.5,17.7,0.149,20,0.6,75,0.453,42,0.238,0.437,2.3,0.9,6.5,1,20.7,0.21,0.02,6.4
Greg Smith,Hou,C,23,11,9,17.7,15.7,0.142,5,0.4,28,0.643,0,0,0.629,3.5,2.5,15.2,0,0,0.09,0.18,0
Ishmael Smith,Pho,PG,25,70,14.2,29.4,16.1,0.179,39,0.564,257,0.459,24,0.042,0.438,3.7,1.8,7.3,2.6,26.4,0.7,0.19,7.3
J.R. Smith,Nyk,SF,28,74,32.5,67.1,21.7,0.096,138,0.652,475,0.436,480,0.394,0.527,14.5,4,7.2,3,15.2,0.88,0.27,6.9
Jason Smith,Nor,PF,27,31,26.6,54.1,18.3,0.084,50,0.78,282,0.465,0,0,0.495,9.7,5.8,12.8,0.9,5.7,0.35,0.94,5.6
Josh Smith,Det,SF,28,77,35.3,73.1,24.7,0.127,300,0.533,968,0.462,265,0.264,0.463,16.4,6.8,10.5,3.3,15.1,1.35,1.43,8.1
Tony Snell,Chi,SG,22,77,15.8,32.5,15.1,0.111,41,0.756,158,0.456,178,0.32,0.489,4.5,1.6,5.8,0.9,9.2,0.38,0.19,4.7
James Southerland,Nor,F,23,3,8.9,14.9,23.6,0.072,2,0.5,7,0.286,5,0.6,0.543,4.7,2.7,17.4,0,0,0.33,0.67,0
Marreese Speights,Gol,C,26,79,12.2,25.3,25.8,0.116,134,0.821,411,0.455,31,0.258,0.507,6.4,3.7,16.4,0.4,5.4,0.14,0.42,6.9
Tiago Splitter,San,C,29,59,21.4,44.3,17.8,0.153,173,0.699,343,0.528,3,0,0.572,8.2,6.2,16.2,1.5,10.2,0.49,0.53,7.9
Lance Stephenson,Ind,SG,23,78,35.1,72.7,19.5,0.18,197,0.711,626,0.545,244,0.352,0.564,13.8,7.2,11.4,4.6,22.2,0.69,0.09,8.8
Greg Stiemsma,Nor,C,28,55,18.1,37.2,8.2,0.244,32,0.594,121,0.579,1,0,0.584,2.9,4.1,13.2,0.7,5.1,0.64,1.04,4.5
Julyan Stone,Tor,SG,25,21,5.6,11,9.1,0.214,3,0.667,9,0.556,8,0.25,0.491,0.9,1,10,0.6,14.9,0.14,0,5.8
Amar'e Stoudemire,Nyk,C,31,65,22.4,46.1,23.6,0.123,203,0.739,558,0.557,0,0,0.596,11.9,4.9,13,0.5,4.3,0.35,0.57,5.5
Rodney Stuckey,Det,SG,27,73,26.6,55,24.4,0.113,292,0.836,765,0.455,88,0.273,0.516,13.9,2.3,4.8,2.1,12.8,0.74,0.14,6.1
Jared Sullinger,Bos,PF,21,74,27.4,56.9,24.2,0.107,203,0.778,691,0.475,208,0.269,0.497,13.3,8.1,16.8,1.6,10.2,0.47,0.66,8.1
Jeffery Taylor,Cha,SF,24,26,24,48.3,19.5,0.095,47,0.553,151,0.424,67,0.269,0.436,8,2.3,5.4,0.8,5.7,0.5,0.19,4.1
Tyshawn Taylor,Bro,PG,23,23,11.6,23.3,23.9,0.229,30,0.8,79,0.354,12,0.25,0.427,3.9,0.7,3.4,1.6,21.8,0.52,0.04,5.6
Jeff Teague,Atl,PG,25,79,32,66.1,25.9,0.161,376,0.846,815,0.469,225,0.329,0.541,16.5,2.6,4.8,6.7,35.2,1.13,0.22,8.2
Marquis Teague,Chi,SG,20,20,12,23.7,17.4,0.189,16,0.688,56,0.25,10,0.2,0.308,2.3,1,4.5,1.4,18.1,0.1,0.2,4.9
Marquis Teague,Bro,SG,20,21,9.4,18.8,19.9,0.264,19,0.789,45,0.422,8,0.375,0.505,3,1,6.4,1.4,24.4,0.38,0.05,6.9
Mirza Teletovic,Bro,SF,28,72,19.2,39.5,20.8,0.088,62,0.71,180,0.472,349,0.39,0.559,8.6,3.7,11.5,0.8,7.1,0.4,0.32,6.1
Garrett Temple,Was,SG,27,75,8.3,17,14.6,0.208,43,0.698,112,0.402,29,0.207,0.431,1.8,0.9,6.3,1,16.2,0.47,0.15,5.7
Jason Terry,Bro,PG,36,35,16.1,32.8,15.5,0.145,15,0.667,49,0.327,103,0.379,0.501,4.5,1.1,3.9,1.6,15.5,0.37,0,5
Hasheem Thabeet,Okc,C,26,23,8.2,16.6,9.2,0.357,5,0.2,23,0.565,0,0,0.536,1.2,1.7,12,0,0.7,0.17,0.39,0
Adonis Thomas,Orl,SF,20,4,5.9,9.5,18.4,0,1,1,6,0.5,3,0,0.371,1.8,0.8,7.2,0.5,13.6,0,0,6.1
Adonis Thomas,Phi,F,20,2,6.4,9.7,20,0.167,0,0,3,0.667,2,0.5,0.7,3.5,0,0,0.5,14.4,0,0,0
Isaiah Thomas,Sac,PG,24,72,34.5,71.2,26.4,0.143,407,0.85,732,0.504,364,0.349,0.574,20.3,2.9,4.8,6.3,32.5,1.29,0.11,8.3
Lance Thomas,Nor,SF,25,5,8.3,15,14,0.157,4,0.5,9,0.222,0,0,0.279,1.2,1.4,9.8,0.6,9.9,0,0,4.8
Malcolm Thomas,San,PF,25,1,14.4,22.9,18.4,0.17,2,0,4,0.25,0,0,0.205,2,9,35.2,0,0,0,2,0
Malcolm Thomas,Uta,PF,25,7,6.7,13.2,19.5,0.4,0,0,8,0.625,4,0.25,0.542,1.9,1.7,14.8,0.3,6.9,0,0.14,5.9
Hollis Thompson,Phi,SF,22,77,22.4,46.3,11.4,0.129,73,0.712,205,0.507,167,0.401,0.57,6,3.2,7.7,0.9,6.2,0.69,0.16,4.6
Jason Thompson,Sac,PF,27,82,24.3,50.2,14.5,0.145,145,0.579,496,0.506,0,0,0.523,7.1,6.4,15,0.6,4.1,0.39,0.68,5
Klay Thompson,Gol,SG,23,81,35.2,72.8,22.8,0.092,185,0.795,724,0.464,535,0.417,0.555,18.4,3.1,4.8,2.2,10.2,0.93,0.46,5.7
Tristan Thompson,Cle,PF,22,82,31.4,64.6,17.6,0.106,339,0.693,760,0.478,1,0,0.528,11.7,9.2,16.4,0.9,4.5,0.51,0.43,5.9
Marcus Thornton,Sac,SG,26,46,24.2,49.7,17.2,0.088,52,0.808,194,0.438,179,0.318,0.484,8.3,2.7,6.3,1,6.6,0.67,0.17,4.7
Marcus Thornton,Bro,SG,26,26,23.7,47.7,24.6,0.09,60,0.8,129,0.45,137,0.38,0.547,12.3,2.8,7.2,1.2,8.7,1.04,0.12,5.8
Jamaal Tinsley,Uta,PG,35,8,13.6,27,12.2,0.31,0,0,5,0.6,15,0.067,0.225,1.1,1.4,5.8,2.9,29.8,0.25,0,4.8
Anthony Tolliver,Cha,PF,28,64,20.1,41.3,12.5,0.066,41,0.805,60,0.45,247,0.413,0.605,6.1,2.6,7.4,0.7,5,0.3,0.23,4.4
P.J. Tucker,Pho,SF,28,81,30.6,63.4,14.3,0.127,201,0.776,424,0.45,191,0.387,0.54,9.4,6.5,12,1.7,8.1,1.36,0.28,6.1
Ronny Turiaf,Min,PF,31,31,19.3,39.4,10.9,0.157,50,0.42,107,0.598,0,0,0.578,4.8,5.6,15.8,0.7,5.5,0.26,1.61,5.5
Hedo Turkoglu,Lac,SF,34,38,10.1,20.9,15.3,0.12,18,0.5,59,0.339,50,0.44,0.492,3,2.3,12.9,0.9,12.2,0.5,0.26,7.3
Evan Turner,Phi,SF,25,54,34.7,71.4,24.5,0.143,228,0.829,699,0.455,132,0.288,0.504,17.4,6,9.3,3.6,17.7,1.04,0.09,8.3
Evan Turner,Ind,SF,25,27,21,43,19.4,0.142,34,0.706,167,0.401,24,0.5,0.471,7.2,3.2,8.5,2.4,18.7,0.41,0.07,7.3
Jeremy Tyler,Nyk,C,22,41,9.5,19.5,19.4,0.159,48,0.542,116,0.517,0,0,0.532,3.6,2.7,16.4,0.2,3.4,0.15,0.49,5.3
Ekpe Udoh,Mil,PF,26,42,18.9,38.7,11.5,0.188,47,0.638,143,0.399,0,0,0.44,3.4,3.5,10.7,0.7,5.8,0.36,1.05,4.3
Beno Udrih,Nyk,SG,31,31,18.7,38.1,17,0.198,24,0.833,120,0.425,40,0.425,0.507,5.6,1.8,5.8,3.5,29.3,0.71,0.1,7
Beno Udrih,Mem,SG,31,10,5.3,10.5,22.3,0.195,6,0.833,16,0.5,2,1,0.654,2.7,0.2,2.2,0.6,18.8,0.1,0.1,5.2
Jonas Valanciunas,Tor,C,21,81,28,57.4,18.6,0.147,260,0.762,675,0.532,1,0,0.579,11.3,8.8,18.3,0.7,4.3,0.3,0.88,5.9
Anderson Varejao,Cle,C,31,65,27.5,56.4,14.7,0.122,135,0.681,452,0.502,7,0,0.527,8.4,9.7,19.7,2.2,12.3,1.06,0.6,8.2
Jarvis Varnado,Phi,PF,25,23,14.4,29.1,11.9,0.108,52,0.519,60,0.6,0,0,0.597,4.3,2.7,10.3,0.6,5.8,0.43,1.26,5.3
Greivis Vasquez,Sac,PG,27,18,25.6,51.6,18.3,0.141,32,0.938,100,0.49,50,0.32,0.536,9.8,1.9,4.2,5.3,33.1,0.33,0.06,7.2
Greivis Vasquez,Tor,SG,27,61,21.3,43.6,22.4,0.157,76,0.855,269,0.442,239,0.389,0.537,9.5,2.3,6.2,3.7,29.9,0.41,0.07,8.1
Jan Vesely,Was,PF,23,33,14,27.9,12.4,0.173,30,0.267,92,0.522,0,0,0.494,3.2,3.4,14.1,0.3,3.4,0.79,0.58,4.2
Jan Vesely,Den,PF,23,21,14.4,29.5,15,0.132,26,0.423,81,0.506,0,0,0.503,4.4,3.7,13.9,0.5,5.5,1.29,0.76,5.6
Charlie Villanueva,Det,PF,29,20,8.8,18,25.5,0.067,14,0.571,36,0.583,56,0.25,0.469,4.6,1.7,10.5,0.3,5.6,0.2,0.25,6
Nikola Vucevic,Orl,C,23,57,31.6,64.5,22,0.129,137,0.766,696,0.507,0,0,0.536,14.2,11,19.7,1.8,10.3,1.05,0.82,8.3
Sasha Vujacic,Lac,SG,29,2,5.1,9.2,34.5,0.375,0,0,3,0.333,2,0.5,0.5,2.5,1.5,16.3,0,0,0.5,0,0
Dwyane Wade,Mia,SG,32,54,32.7,67.1,28,0.156,258,0.733,728,0.558,32,0.281,0.588,19,4.5,8.6,4.7,25.8,1.46,0.54,9
Dion Waiters,Cle,SG,22,70,29.4,60.4,27.1,0.123,235,0.685,743,0.455,249,0.369,0.508,15.9,2.8,5.3,3,18.5,0.9,0.24,7
Kemba Walker,Cha,PG,23,73,35.6,73.2,26,0.116,337,0.837,816,0.417,327,0.333,0.499,17.7,4.2,6.6,6.1,29.9,1.18,0.44,8.6
John Wall,Was,PG,23,82,36.1,73.9,27.5,0.163,394,0.805,1029,0.458,308,0.351,0.524,19.3,4.1,6.5,8.8,40.7,1.82,0.48,9.8
Gerald Wallace,Bos,SF,31,58,24.2,50.3,11.7,0.261,101,0.465,166,0.584,64,0.297,0.543,5.1,3.7,8.6,2.5,15.1,1.26,0.24,6
Casper Ware,Phi,PG,24,9,12.7,24.4,18.5,0.101,6,0.833,21,0.524,21,0.333,0.538,5.3,1,4.3,1.1,14.1,0.89,0,5.7
C.J. Watson,Ind,PG,29,63,18.7,38.8,16.8,0.136,88,0.784,190,0.489,145,0.366,0.554,6.6,1.6,4.8,1.7,14.6,0.95,0.13,5.6
Earl Watson,Por,PG,34,24,6.5,13.1,8.3,0.571,4,1,4,0.25,7,0.286,0.47,0.5,0.6,5.2,1.2,22.8,0.21,0.04,4.4
Martell Webster,Was,SF,27,78,27.5,56.1,14.8,0.083,125,0.84,215,0.502,372,0.392,0.591,9.7,2.9,6,1.2,6.7,0.53,0.19,4.7
David West,Ind,PF,33,80,30.7,63.7,22,0.112,251,0.789,924,0.491,15,0.267,0.533,14,6.8,12.4,2.8,16.2,0.76,0.93,8.4
Russell Westbrook,Okc,PG,25,46,30.5,62.8,34.7,0.161,293,0.826,578,0.483,214,0.318,0.545,21.8,5.7,10.6,6.9,40.7,1.91,0.15,12.5
D.J. White,Cha,PF,27,2,5.1,7.2,4.6,0,0,0,1,0,0,0,0,0,1,11.2,0,0,0.5,0,0
Deron Williams,Bro,PG,29,64,32,65.8,21.9,0.15,216,0.801,448,0.5,268,0.366,0.564,14.3,2.6,4.9,6.1,33.1,1.45,0.2,7.6
Derrick Williams,Min,PF,22,11,14.5,28.4,17.8,0.089,16,0.875,39,0.436,15,0.133,0.442,4.9,2.4,8.8,0.1,0.9,0.36,0.36,2.9
Derrick Williams,Sac,SF,22,67,24.6,50.7,16.2,0.116,243,0.708,343,0.475,84,0.286,0.534,8.5,4.4,10.2,0.8,5.1,0.66,0.24,5
Elliot Williams,Phi,SG,24,67,17.1,35.2,16.9,0.149,119,0.731,212,0.486,125,0.296,0.519,6,1.9,6.1,1.1,9.5,0.52,0.04,5.4
Louis Williams,Atl,PG,27,60,23.9,49.2,21.1,0.139,179,0.849,262,0.45,231,0.342,0.547,10.4,2.1,5,3.5,23.1,0.75,0.07,7.1
Marvin Williams,Uta,PF,27,66,25.1,52,16.9,0.087,73,0.781,292,0.503,234,0.359,0.54,9.1,5.1,11.6,1.2,7.7,0.82,0.47,6.1